RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.10272896,52,0,2.174129353,200.0,14,0,0,0,3.0
0.9999999,24,0,0.003998001,2000.0,4,0,0,0,0.0
0.008253289,43,0,0.47868274,3400.0,8,0,1,0,0.0
0.9999999,39,0,0.031715976,4224.0,1,0,0,0,3.0
0.782765592,62,1,0.632083001,3758.0,5,0,1,0,3.0
0.027936254,46,0,39.0,,3,0,0,0,0.0
3593.0,54,0,2662.0,,3,0,1,0,0.0
0.222120469,49,0,0.25234662,7350.0,7,1,1,0,3.0
0.060342215,51,0,0.022814663,3900.0,4,0,0,0,0.0
0.121090207,74,0,2664.0,,3,0,1,0,1.0
0.110915563,65,0,124.0,,3,0,0,0,0.0
0.14404896,66,0,0.083662019,18000.0,15,0,1,0,0.0
0.007502644,70,0,0.023990404,2500.0,12,0,1,0,0.0
0.0,28,1,0.406320542,3100.0,4,0,1,0,0.0
0.02820583,66,0,1150.0,,8,0,1,0,1.0
0.160778135,58,0,0.008776803,9000.0,3,0,0,0,2.0
0.185413374,53,0,1889.0,,5,0,1,0,1.0
0.067403299,63,0,0.30625641,4874.0,10,0,1,0,0.0
0.050115831,67,0,0.008570612,10500.0,8,0,0,0,0.0
0.035171631,45,0,906.0,1.0,14,0,1,0,2.0
0.016276874,73,0,0.006246096,1600.0,4,0,0,0,0.0
0.0,54,0,2138.0,,9,0,1,0,0.0
0.009999764,37,0,0.414425105,7583.0,10,0,2,0,1.0
0.61479815,52,0,147.0,,3,0,0,0,
0.008123985,39,0,1.0,,2,0,0,0,0.0
0.126280931,49,0,2645.0,,10,0,1,0,3.0
0.138861139,79,0,0.001480933,2700.0,1,0,0,0,0.0
0.9999999,69,0,0.064184363,10500.0,9,0,1,0,0.0
0.981607357,48,0,0.422890398,3092.0,8,0,1,0,0.0
